iter	Passed	Remaining
0	1	184
1	3	161
2	4	156
3	6	148
4	7	150
5	10	160
6	11	158
7	13	159
8	15	155
9	16	149
10	17	143
11	18	137
12	19	132
13	20	127
14	21	123
15	22	119
16	23	115
17	24	113
18	25	110
19	26	107
20	27	105
21	29	103
22	30	101
23	31	99
24	32	97
25	33	95
26	34	93
27	35	91
28	36	89
29	37	87
30	38	85
31	39	83
32	40	81
33	40	79
34	41	76
35	42	75
36	43	74
37	44	72
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	58
47	52	57
48	53	55
49	54	54
50	54	52
51	55	51
52	56	50
53	57	48
54	57	47
55	58	45
56	59	44
57	59	43
58	60	42
59	61	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	67	29
70	68	27
71	69	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	86	0
